127.0.0.1, 2014-09-05 21:33:12, GET, /admin/default/ticket/calender/127.0.0.1.2014-09-05.21-33-09.2fdc3d52-0879-4c41-8928-b52557d4a67e, HTTP/1.1, 200, 0.042592
127.0.0.1, 2014-09-05 21:33:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000260
127.0.0.1, 2014-09-05 21:33:39, GET, /calender/, HTTP/1.1, 200, 0.017383
127.0.0.1, 2014-09-05 21:34:41, GET, /calender/default/event_show, HTTP/1.1, 500, 0.019427
127.0.0.1, 2014-09-05 21:34:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2014-09-05 21:34:43, GET, /admin/default/ticket/calender/127.0.0.1.2014-09-05.21-34-41.d4a6f550-4855-40f8-bf4e-0cafb8206bdc, HTTP/1.1, 200, 0.042805
127.0.0.1, 2014-09-05 21:34:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000380
127.0.0.1, 2014-09-05 21:34:47, GET, /calender/, HTTP/1.1, 200, 0.014683
127.0.0.1, 2014-09-05 21:34:50, POST, /admin/default/edit/calender/models/db.py, HTTP/1.1, 200, 0.021608
127.0.0.1, 2014-09-05 21:36:26, POST, /admin/default/edit/calender/controllers/default.py, HTTP/1.1, 200, 0.017955
127.0.0.1, 2014-09-05 21:36:33, GET, /calender/default/event_show, HTTP/1.1, 500, 0.331472
127.0.0.1, 2014-09-05 21:36:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000659
127.0.0.1, 2014-09-05 21:36:35, GET, /calender/, HTTP/1.1, 200, 0.185174
127.0.0.1, 2014-09-05 21:39:13, GET, /calender/default/event_show, HTTP/1.1, 500, 0.043418
127.0.0.1, 2014-09-05 21:39:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2014-09-05 21:39:18, GET, /calender/, HTTP/1.1, 200, 0.160380
127.0.0.1, 2014-09-05 21:59:59, GET, /calender/default/event_show, HTTP/1.1, 500, 0.039385
127.0.0.1, 2014-09-05 21:59:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000386
127.0.0.1, 2014-09-05 22:00:01, GET, /admin/default/ticket/calender/127.0.0.1.2014-09-05.21-59-59.ff2a24fa-d996-4bc3-8619-bd5459a97a09, HTTP/1.1, 200, 0.049669
127.0.0.1, 2014-09-05 22:00:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000262
127.0.0.1, 2014-09-05 22:00:51, POST, /admin/default/edit/calender/controllers/default.py, HTTP/1.1, 200, 0.023296
127.0.0.1, 2014-09-05 22:00:59, GET, /calender/default/event_show, HTTP/1.1, 200, 0.257597
127.0.0.1, 2014-09-05 22:06:53, POST, /admin/default/edit/calender/controllers/default.py, HTTP/1.1, 200, 0.017655
